id,address,date,price,bedrooms,bathrooms,carparks
405190992,123 PARNELL ROAD TOMERONG NSW 2540,1991-03-05,53580,,,
405190724,123 SUNRISE ROAD YERRINBOOL NSW 2575,1991-08-15,141000,,,
405190274,4 / 46 CUMMINS STREET UNANDERRA NSW 2526,1991-02-01,125000,,,
405190308,6 DUDLEY AVENUE NOWRA NSW 2541,1991-03-22,0,,,
405190273,1 / 46 CUMMINS STREET UNANDERRA NSW 2526,1991-02-08,116000,,,
405191114,27 THOMAS STREET MITTAGONG NSW 2575,1991-11-27,44000,,,
405190238,119 CABBAGE TREE LANE FAIRY MEADOW NSW 2519,1991-09-10,0,,,
405191415,28 FIFTH AVENUE PORT KEMBLA NSW 2505,1991-01-22,0,,,
405191337,21 RACKHAM CRESCENT BURRILL LAKE NSW 2539,1991-06-27,125000,,,
405187106,3 RIBBONWOOD PLACE ALBION PARK RAIL NSW 2527,1991-06-06,0,,,
405190948,113 GARSIDE ROAD MOLLYMOOK BEACH NSW 2539,1991-10-10,117000,,,
405186687,213 PRINCES HIGHWAY ALBION PARK RAIL NSW 2527,1991-02-13,0,,,
405190874,3 / 79 PAGE AVENUE NORTH NOWRA NSW 2541,1991-09-24,97500,,,
405186814,21 BARCOO CIRCUIT ALBION PARK NSW 2527,1991-08-22,54750,,,
405187162,46 BRIGADOON CIRCUIT OAK FLATS NSW 2529,1991-11-05,121000,,,
405187198,19 LINDESAY STREET BARRACK HEIGHTS NSW 2528,1991-09-19,0,,,
405187334,16 BLACKWOOD STREET GERRINGONG NSW 2534,1991-03-08,60000,,,
405187052,3 / 7 WINDLE STREET LAKE ILLAWARRA NSW 2528,1991-06-03,90000,,,
405187224,4 AUSTIN AVENUE MINNAMURRA NSW 2533,1991-05-17,159000,,,
405187411,10 ELEANOR AVENUE OAK FLATS NSW 2529,1991-03-04,133800,,,
405187114,27 ANNETTS PARADE MOSSY POINT NSW 2537,1991-01-17,78000,,,
405186758,20 HUTCHINSON STREET BOMBO NSW 2533,1991-05-15,155000,,,
405187827,8 / 16 SMITH AVENUE ALBION PARK NSW 2527,1991-04-09,105116,,,
405187630,2 / 6 EDGAR STREET TOWRADGI NSW 2518,1991-05-13,70000,,,
405187677,3 KALANG AVENUE DAPTO NSW 2530,1991-10-09,129000,,,
405187830,3 / 16 SMITH AVENUE ALBION PARK NSW 2527,1991-04-10,105135,,,
405187794,18 / 2 WILSON STREET WOLLONGONG NSW 2500,1991-10-23,150000,,,
405187843,12 / 1 SPARTA STREET WARILLA NSW 2528,1991-08-09,128000,,,
405204936,35 ARCHIBALD STREET PADSTOW NSW 2211,1991-05-23,0,,,
405204981,6 / 94 JAMES STREET PUNCHBOWL NSW 2196,1991-01-15,156000,,,
405198558,6 / 11 VIEW STREET WOLLONGONG NSW 2500,1991-04-05,189000,,,
405205170,46 DOWDING STREET PANANIA NSW 2213,1991-06-17,0,,,
405204932,91 ARAB ROAD PADSTOW NSW 2211,1991-02-21,158000,,,
405198857,3 / 38 RANN STREET FAIRY MEADOW NSW 2519,1991-08-30,92000,,,
405205588,8 PRINGLE AVENUE BANKSTOWN NSW 2200,1991-12-18,338000,,,
405205009,7 / 110 PICNIC POINT ROAD PICNIC POINT NSW 2213,1991-06-12,168000,,,
405205218,5 / 11 ROOKWOOD ROAD YAGOONA NSW 2199,1991-05-17,135000,,,
405205403,9 / 159 PRIAM STREET CHESTER HILL NSW 2162,1991-02-08,1500000,,,
405205425,11 WARD STREET YAGOONA NSW 2199,1991-04-23,140000,,,
405205746,60 GOONDAH STREET VILLAWOOD NSW 2163,1991-04-04,132500,,,
405205531,4 / 94 BRYANT STREET PADSTOW NSW 2211,1991-07-26,145000,,,
405205532,5 / 94 BRYANT STREET PADSTOW NSW 2211,1991-08-02,102000,,,
405205537,32 CHESTER HILL ROAD CHESTER HILL NSW 2162,1991-09-20,0,,,
405205516,16 / 94 BRYANT STREET PADSTOW NSW 2211,1991-08-02,150000,,,
405205773,35 PROCTOR PARADE SEFTON NSW 2162,1991-12-02,0,,,
405203659,20 MARTIN CRESCENT MILPERRA NSW 2214,1991-09-19,0,,,
405205992,8 / 9 TURVEY STREET REVESBY NSW 2212,1991-03-28,170000,,,
405203788,3 / 380 MARION STREET CONDELL PARK NSW 2200,1991-10-17,160000,,,
405203841,2 HANDLE STREET BASS HILL NSW 2197,1991-11-22,0,,,
405205949,76 KENNEDY STREET PICNIC POINT NSW 2213,1991-02-15,166000,,,
405203640,100 GRIFFITHS AVENUE BANKSTOWN NSW 2200,1991-07-02,0,,,
405204072,30 SMITH ROAD YAGOONA NSW 2199,1991-04-12,143000,,,
405205933,9 / 18 GORDON STREET BANKSTOWN NSW 2200,1991-12-02,1784000,,,
405204017,35 LAWFORD STREET GREENACRE NSW 2190,1991-02-22,0,,,
405204176,82 CAROLINE CRESCENT GEORGES HALL NSW 2198,1991-06-07,155000,,,
405204438,26 MILFORD AVENUE PANANIA NSW 2213,1991-03-27,160000,,,
405204207,149 HECTOR STREET SEFTON NSW 2162,1991-08-19,0,,,
405204601,22 FREDA STREET PANANIA NSW 2213,1991-09-30,0,,,
405204611,34 JACARANDA DRIVE GEORGES HALL NSW 2198,1991-06-07,189500,,,
405204604,10 HELGA AVENUE PADSTOW NSW 2211,1991-09-26,0,,,
405204813,304 ROBERTS ROAD GREENACRE NSW 2190,1991-07-03,0,,,
405204790,62 JACOBS STREET BANKSTOWN NSW 2200,1991-05-10,0,,,
405204828,9 WAINWRIGHT AVENUE PADSTOW NSW 2211,1991-01-17,0,,,
405207433,2 PACIFIC STREET BLAKEHURST NSW 2221,1991-04-05,315000,,,
405204709,57 POWELL STREET YAGOONA NSW 2199,1991-06-04,147000,,,
405204783,638 HENRY LAWSON DRIVE EAST HILLS NSW 2213,1991-03-22,115000,,,
405204602,5 FREEMAN PLACE CHESTER HILL NSW 2162,1991-11-15,0,,,
405204825,4 / 45 VIRGINIUS STREET PADSTOW NSW 2211,1991-06-28,163000,,,
